,pos_img_name,bin_start,bin_ends
102,pos_img_20_2.png,1610602279293434.8,1610602279301525.0
103,pos_img_20_3.png,1610602279301525.0,1610602279309615.5
104,pos_img_20_4.png,1610602279309615.5,1610602279317705.8
105,pos_img_21_0.png,1610602279317705.8,1610602279325796.0
106,pos_img_21_1.png,1610602279325796.0,1610602279333886.5
107,pos_img_21_2.png,1610602279333886.5,1610602279341976.8
108,pos_img_21_3.png,1610602279341976.8,1610602279350067.2
109,pos_img_21_4.png,1610602279350067.2,1610602279358157.5
110,pos_img_22_0.png,1610602279358157.5,1610602279366247.8
111,pos_img_22_1.png,1610602279366247.8,1610602279374338.2
112,pos_img_22_2.png,1610602279374338.2,1610602279382428.5
113,pos_img_22_3.png,1610602279382428.5,1610602279390519.0
114,pos_img_22_4.png,1610602279390519.0,1610602279398609.2
115,pos_img_23_0.png,1610602279398609.2,1610602279406699.5
116,pos_img_23_1.png,1610602279406699.5,1610602279414790.0
117,pos_img_23_2.png,1610602279414790.0,1610602279422880.2
118,pos_img_23_3.png,1610602279422880.2,1610602279430970.8
119,pos_img_23_4.png,1610602279430970.8,1610602279439061.0
120,pos_img_24_0.png,1610602279439061.0,1610602279447151.2
121,pos_img_24_1.png,1610602279447151.2,1610602279455241.8
122,pos_img_24_2.png,1610602279455241.8,1610602279463332.0
123,pos_img_24_3.png,1610602279463332.0,1610602279471422.5
124,pos_img_24_4.png,1610602279471422.5,1610602279479512.8
125,pos_img_25_0.png,1610602279479512.8,1610602279487603.0
126,pos_img_25_1.png,1610602279487603.0,1610602279495693.5
127,pos_img_25_2.png,1610602279495693.5,1610602279503783.8
128,pos_img_25_3.png,1610602279503783.8,1610602279511874.2
129,pos_img_25_4.png,1610602279511874.2,1610602279519964.5
130,pos_img_26_0.png,1610602279519964.5,1610602279528054.8
131,pos_img_26_1.png,1610602279528054.8,1610602279536145.2
132,pos_img_26_2.png,1610602279536145.2,1610602279544235.5
133,pos_img_26_3.png,1610602279544235.5,1610602279552326.0
134,pos_img_26_4.png,1610602279552326.0,1610602279560416.2
135,pos_img_27_0.png,1610602279560416.2,1610602279568506.5
136,pos_img_27_1.png,1610602279568506.5,1610602279576597.0
137,pos_img_27_2.png,1610602279576597.0,1610602279584687.2
138,pos_img_27_3.png,1610602279584687.2,1610602279592777.8
139,pos_img_27_4.png,1610602279592777.8,1610602279600868.0
140,pos_img_28_0.png,1610602279600868.0,1610602279608958.2
141,pos_img_28_1.png,1610602279608958.2,1610602279617048.8
142,pos_img_28_2.png,1610602279617048.8,1610602279625139.0
143,pos_img_28_3.png,1610602279625139.0,1610602279633229.5
144,pos_img_28_4.png,1610602279633229.5,1610602279641319.8
145,pos_img_29_0.png,1610602279641319.8,1610602279649410.0
146,pos_img_29_1.png,1610602279649410.0,1610602279657500.5
147,pos_img_29_2.png,1610602279657500.5,1610602279665590.8
148,pos_img_29_3.png,1610602279665590.8,1610602279673681.2
149,pos_img_29_4.png,1610602279673681.2,1610602279681771.5
150,pos_img_30_0.png,1610602279681771.5,1610602279689861.8
151,pos_img_30_1.png,1610602279689861.8,1610602279697952.2
152,pos_img_30_2.png,1610602279697952.2,1610602279706042.5
153,pos_img_30_3.png,1610602279706042.5,1610602279714133.0
154,pos_img_30_4.png,1610602279714133.0,1610602279722223.2
155,pos_img_31_0.png,1610602279722223.2,1610602279730313.5
156,pos_img_31_1.png,1610602279730313.5,1610602279738404.0
157,pos_img_31_2.png,1610602279738404.0,1610602279746494.2
158,pos_img_31_3.png,1610602279746494.2,1610602279754584.8
159,pos_img_31_4.png,1610602279754584.8,1610602279762675.0
160,pos_img_32_0.png,1610602279762675.0,1610602279770765.2
161,pos_img_32_1.png,1610602279770765.2,1610602279778855.8
162,pos_img_32_2.png,1610602279778855.8,1610602279786946.0
163,pos_img_32_3.png,1610602279786946.0,1610602279795036.5
164,pos_img_32_4.png,1610602279795036.5,1610602279803126.8
165,pos_img_33_0.png,1610602279803126.8,1610602279811217.0
166,pos_img_33_1.png,1610602279811217.0,1610602279819307.5
167,pos_img_33_2.png,1610602279819307.5,1610602279827397.8
168,pos_img_33_3.png,1610602279827397.8,1610602279835488.2
169,pos_img_33_4.png,1610602279835488.2,1610602279843578.5
170,pos_img_34_0.png,1610602279843578.5,1610602279851668.8
171,pos_img_34_1.png,1610602279851668.8,1610602279859759.2
172,pos_img_34_2.png,1610602279859759.2,1610602279867849.5
173,pos_img_34_3.png,1610602279867849.5,1610602279875940.0
174,pos_img_34_4.png,1610602279875940.0,1610602279884030.2
175,pos_img_35_0.png,1610602279884030.2,1610602279892120.5
176,pos_img_35_1.png,1610602279892120.5,1610602279900211.0
177,pos_img_35_2.png,1610602279900211.0,1610602279908301.2
178,pos_img_35_3.png,1610602279908301.2,1610602279916391.8
179,pos_img_35_4.png,1610602279916391.8,1610602279924482.0
180,pos_img_36_0.png,1610602279924482.0,1610602279932572.2
181,pos_img_36_1.png,1610602279932572.2,1610602279940662.8
182,pos_img_36_2.png,1610602279940662.8,1610602279948753.0
183,pos_img_36_3.png,1610602279948753.0,1610602279956843.5
184,pos_img_36_4.png,1610602279956843.5,1610602279964933.8
185,pos_img_37_0.png,1610602279964933.8,1610602279973024.0
186,pos_img_37_1.png,1610602279973024.0,1610602279981114.5
187,pos_img_37_2.png,1610602279981114.5,1610602279989204.8
188,pos_img_37_3.png,1610602279989204.8,1610602279997295.2
189,pos_img_37_4.png,1610602279997295.2,1610602280005385.5
190,pos_img_38_0.png,1610602280005385.5,1610602280013475.8
191,pos_img_38_1.png,1610602280013475.8,1610602280021566.2
192,pos_img_38_2.png,1610602280021566.2,1610602280029656.5
193,pos_img_38_3.png,1610602280029656.5,1610602280037747.0
194,pos_img_38_4.png,1610602280037747.0,1610602280045837.2
195,pos_img_39_0.png,1610602280045837.2,1610602280053927.5
