,neg_img_name,bin_start,bin_ends
102,neg_img_10_2.png,1610602278880826.8,1610602278884872.0
103,neg_img_10_3.png,1610602278884872.0,1610602278888917.2
104,neg_img_10_4.png,1610602278888917.2,1610602278892962.5
105,neg_img_10_5.png,1610602278892962.5,1610602278897007.5
106,neg_img_10_6.png,1610602278897007.5,1610602278901052.8
107,neg_img_10_7.png,1610602278901052.8,1610602278905098.0
108,neg_img_10_8.png,1610602278905098.0,1610602278909143.0
109,neg_img_10_9.png,1610602278909143.0,1610602278913188.2
110,neg_img_11_0.png,1610602278913188.2,1610602278917233.5
111,neg_img_11_1.png,1610602278917233.5,1610602278921278.5
112,neg_img_11_2.png,1610602278921278.5,1610602278925323.8
113,neg_img_11_3.png,1610602278925323.8,1610602278929369.0
114,neg_img_11_4.png,1610602278929369.0,1610602278933414.0
115,neg_img_11_5.png,1610602278933414.0,1610602278937459.2
116,neg_img_11_6.png,1610602278937459.2,1610602278941504.5
117,neg_img_11_7.png,1610602278941504.5,1610602278945549.8
118,neg_img_11_8.png,1610602278945549.8,1610602278949594.8
119,neg_img_11_9.png,1610602278949594.8,1610602278953640.0
120,neg_img_12_0.png,1610602278953640.0,1610602278957685.2
121,neg_img_12_1.png,1610602278957685.2,1610602278961730.2
122,neg_img_12_2.png,1610602278961730.2,1610602278965775.5
123,neg_img_12_3.png,1610602278965775.5,1610602278969820.8
124,neg_img_12_4.png,1610602278969820.8,1610602278973866.0
125,neg_img_12_5.png,1610602278973866.0,1610602278977911.0
126,neg_img_12_6.png,1610602278977911.0,1610602278981956.2
127,neg_img_12_7.png,1610602278981956.2,1610602278986001.5
128,neg_img_12_8.png,1610602278986001.5,1610602278990046.5
129,neg_img_12_9.png,1610602278990046.5,1610602278994091.8
130,neg_img_13_0.png,1610602278994091.8,1610602278998137.0
131,neg_img_13_1.png,1610602278998137.0,1610602279002182.0
132,neg_img_13_2.png,1610602279002182.0,1610602279006227.2
133,neg_img_13_3.png,1610602279006227.2,1610602279010272.5
134,neg_img_13_4.png,1610602279010272.5,1610602279014317.5
135,neg_img_13_5.png,1610602279014317.5,1610602279018362.8
